E(MeV)	EventID	ParticleName	CreatorProcessName	Time(ns)
8.7893	27	e-	EventGenerator	0.067227
8.7893	27	gamma	eBrem	-1e+06
8.7893	27	e-	phot	-1e+06
	1.7514	27	-1	EventGenerator/eBrem/phot/
9.6294	28	e-	EventGenerator	0.065217
9.6294	28	gamma	eBrem	-1e+06
9.6294	28	gamma	eBrem	-1e+06
	1.7032	28	-1	EventGenerator/eBrem/eBrem/
9.6363	29	e-	EventGenerator	0.065674
	2.3529	29	-1	EventGenerator/
8.942	30	e-	EventGenerator	0.065463
0.24816	30	gamma	eBrem	0.065087
0.16472	30	gamma	eBrem	0.065107
0.16472	30	gamma	eBrem	-1e+06
0.16472	30	gamma	eBrem	-1e+06
0.16472	30	e-	phot	-1e+06
0.16472	30	e-	phot	-1e+06
0.16472	30	e-	phot	-1e+06
	2.9784	30	-1	EventGenerator/eBrem/eBrem/eBrem/eBrem/phot/phot/phot/
9.442	31	e-	EventGenerator	0.065169
9.442	31	gamma	eBrem	-1e+06
	1.3579	31	-1	EventGenerator/eBrem/
9.661	32	e-	EventGenerator	0.065227
0.99465	32	gamma	eBrem	0.067668
	1.4533	32	-1	EventGenerator/eBrem/
8.3108	33	e-	EventGenerator	0.066391
0.26863	33	gamma	eBrem	0.065703
1.0684	33	gamma	eBrem	0.065478
1.0684	33	gamma	eBrem	-1e+06
1.0684	33	gamma	eBrem	-1e+06
	3.1672	33	-1	EventGenerator/eBrem/eBrem/eBrem/eBrem/
9.672	34	e-	EventGenerator	0.065279
9.672	34	gamma	eBrem	-1e+06
9.672	34	gamma	eBrem	-1e+06
9.672	34	gamma	eBrem	-1e+06
	3.7497	34	-1	EventGenerator/eBrem/eBrem/eBrem/
9.6698	35	e-	EventGenerator	0.065718
9.6698	35	gamma	eBrem	-1e+06
9.6698	35	gamma	eBrem	-1e+06
9.6698	35	e-	phot	-1e+06
	1.8616	35	-1	EventGenerator/eBrem/eBrem/phot/
9.3892	36	e-	EventGenerator	0.065169
9.3892	36	gamma	eBrem	-1e+06
	1.9444	36	-1	EventGenerator/eBrem/
9.6351	37	e-	EventGenerator	0.065287
9.6351	37	gamma	eBrem	-1e+06
9.6351	37	e-	phot	-1e+06
	1.5712	37	-1	EventGenerator/eBrem/phot/
9.2273	38	e-	EventGenerator	0.065312
	1.4811	38	-1	EventGenerator/
9.6953	39	e-	EventGenerator	0.065301
9.6953	39	gamma	eBrem	-1e+06
1.6621	39	gamma	eBrem	0.071184
1.6621	39	e-	phot	-1e+06
	3.3436	39	-1	EventGenerator/eBrem/eBrem/phot/
9.6625	40	e-	EventGenerator	0.065233
	1.6189	40	-1	EventGenerator/
9.668	41	e-	EventGenerator	0.065571
9.668	41	gamma	eBrem	-1e+06
	1.1786	41	-1	EventGenerator/eBrem/
9.6025	42	e-	EventGenerator	0.066061
9.6025	42	gamma	eBrem	-1e+06
9.6025	42	e-	phot	-1e+06
	1.2645	42	-1	EventGenerator/eBrem/phot/
9.6323	43	e-	EventGenerator	0.065158
9.6323	43	gamma	eBrem	-1e+06
9.6323	43	gamma	eBrem	-1e+06
9.6323	43	e-	conv	-1e+06
